as_of,team,player,club,position,talent,talent_se,exp_minutes,available,age,is_starter
2026-06-01,Jordan,Ali Azaizeh,Al-Shabab,FWD,62.0,8.0,,True,22.1,False
2026-06-01,Jordan,Mohammad Al-Dawoud,Al-Wehdat,MID,62.0,8.0,,True,34.1,False
2026-06-01,Jordan,Anas Badawi,Al-Faisaly,DEF,62.0,8.0,,True,28.7,False
2026-06-01,Mexico,Raúl Rangel,Guadalajara,GK,65.0,8.0,,True,26.3,False
2026-06-01,Mexico,Jorge Sánchez,PAOK,DEF,65.0,8.0,,True,28.5,False
2026-06-01,Mexico,César Montes,Lokomotiv Moscow,DEF,74.0,3.0,,True,29.3,True
2026-06-01,Mexico,Edson Álvarez,Fenerbahçe,DEF,81.0,3.0,,True,28.6,True
2026-06-01,Mexico,Johan Vásquez,Genoa,DEF,74.0,3.0,,True,27.6,True
2026-06-01,Mexico,Érik Lira,Cruz Azul,MID,65.0,8.0,,True,26.1,False
2026-06-01,Mexico,Luis Romo,Guadalajara,MID,65.0,8.0,,True,31.0,False
2026-06-01,Mexico,Álvaro Fidalgo,Real Betis,MID,65.0,8.0,,True,29.1,False
2026-06-01,Mexico,Raúl Jiménez,Fulham,FWD,74.0,3.0,,True,35.1,True
2026-06-01,Mexico,Alexis Vega,Toluca,FWD,65.0,8.0,,True,28.5,False
2026-06-01,Mexico,Santiago Giménez,AC Milan,FWD,79.0,3.0,,True,25.1,True
2026-06-01,Mexico,Carlos Acevedo,Santos Laguna,GK,65.0,8.0,,True,30.1,False
2026-06-01,Mexico,Guillermo Ochoa,AEL Limassol,GK,65.0,8.0,,True,40.9,True
2026-06-01,Mexico,Armando González,Guadalajara,FWD,65.0,8.0,,True,23.1,False
2026-06-01,Mexico,Israel Reyes,América,DEF,65.0,8.0,,True,26.0,False
2026-06-01,Mexico,Julián Quiñones,Al-Qadsiah,FWD,78.0,3.0,,True,29.2,True
2026-06-01,Mexico,Orbelín Pineda,AEK Athens,MID,77.0,3.0,,True,30.2,True
2026-06-01,Mexico,Obed Vargas,Atlético Madrid,MID,64.0,3.0,,True,20.8,False
2026-06-01,Mexico,Gilberto Mora,Tijuana,MID,65.0,8.0,,True,17.6,False
2026-06-01,Mexico,Mateo Chávez,AZ,DEF,65.0,8.0,,True,22.1,False
2026-06-01,Mexico,César Huerta,Anderlecht,FWD,65.0,8.0,,True,25.5,False
2026-06-01,Mexico,Guillermo Martínez,Pumas,FWD,65.0,8.0,,True,31.2,False
2026-06-01,Mexico,Jesús Gallardo,Toluca,DEF,65.0,8.0,,True,31.8,True
2026-06-01,Mexico,Luis Chávez,Dynamo Moscow,MID,65.0,8.0,,True,30.4,False
2026-06-01,Mexico,Roberto Alvarado,Guadalajara,FWD,65.0,8.0,,True,27.7,True
2026-06-01,Mexico,Brian Gutiérrez,Guadalajara,MID,67.0,4.0,,True,23.0,True
2026-06-01,Morocco,Yassine Bounou,Al-Hilal,GK,84.0,3.0,,True,35.2,True
2026-06-01,Morocco,Achraf Hakimi,Paris Saint-Germain,DEF,84.0,3.0,,True,27.6,True
2026-06-01,Morocco,Noussair Mazraoui,Manchester United,DEF,81.0,3.0,,True,28.5,True
2026-06-01,Morocco,Sofyan Amrabat,Real Betis,MID,78.0,3.0,,True,29.8,True
2026-06-01,Morocco,Marwane Saâdane,Al-Fateh,DEF,70.0,3.0,,True,34.4,False
2026-06-01,Morocco,Ayyoub Bouaddi,Lille,MID,71.0,8.0,,True,18.7,False
2026-06-01,Morocco,Chemsdine Talbi,Sunderland,MID,63.0,4.0,,True,21.1,False
2026-06-01,Morocco,Azzedine Ounahi,Girona,MID,75.0,3.0,,True,26.1,True
2026-06-01,Morocco,Soufiane Rahimi,Al Ain,FWD,79.0,3.0,,True,30.0,True
2026-06-01,Morocco,Brahim Díaz,Real Madrid,FWD,82.0,3.0,,True,26.8,True
2026-06-01,Morocco,Ismael Saibari,PSV Eindhoven,MID,76.0,3.0,,True,25.3,True
2026-06-01,Morocco,Munir Mohamedi,RS Berkane,GK,71.0,8.0,,True,37.1,False
2026-06-01,Morocco,Zakaria El Ouahdi,Genk,DEF,71.0,3.0,,True,24.4,False
2026-06-01,Morocco,Issa Diop,Fulham,DEF,77.0,4.0,,True,29.4,True
2026-06-01,Morocco,Samir El Mourabet,Strasbourg,MID,71.0,8.0,,True,20.7,False
2026-06-01,Morocco,Gessime Yassine,Strasbourg,MID,71.0,8.0,,True,20.5,False
2026-06-01,Morocco,Amine Sbaï,Angers,FWD,68.0,3.0,,True,25.6,False
2026-06-01,Morocco,Chadi Riad,Crystal Palace,DEF,72.0,3.0,,True,23.0,False
2026-06-01,Morocco,Youssef Belammari,Al Ahly,DEF,71.0,8.0,,True,27.7,False
2026-06-01,Morocco,Ayoub El Kaabi,Olympiacos,FWD,78.0,3.0,,True,32.9,True
2026-06-01,Morocco,Ayoube Amaimouni,Eintracht Frankfurt,FWD,71.0,8.0,,True,21.5,False
2026-06-01,Morocco,Ahmed Reda Tagnaouti,AS FAR,GK,71.0,8.0,,True,30.2,False
2026-06-01,Morocco,Bilal El Khannouss,VfB Stuttgart,MID,76.0,3.0,,True,22.1,True
2026-06-01,Morocco,Neil El Aynaoui,Roma,MID,75.0,3.0,,True,24.9,False
2026-06-01,Morocco,Redouane Halhal,Mechelen,DEF,71.0,8.0,,True,23.2,False
2026-06-01,Morocco,Anass Salah-Eddine,PSV Eindhoven,DEF,67.0,4.0,,True,24.4,False
2026-06-01,Netherlands,Bart Verbruggen,Brighton & Hove Albion,GK,76.0,3.0,,True,23.8,False
2026-06-01,Netherlands,Lutsharel Geertruida,Sunderland,DEF,79.0,3.0,,True,25.9,False
2026-06-01,Netherlands,Marten de Roon,Atalanta,MID,79.0,3.0,,True,35.2,False
2026-06-01,Netherlands,Virgil van Dijk,Liverpool,DEF,89.0,3.0,,True,34.9,True
2026-06-01,Netherlands,Nathan Aké,Manchester City,DEF,84.0,3.0,,True,31.3,True
2026-06-01,Netherlands,Jan Paul van Hecke,Brighton & Hove Albion,DEF,76.0,3.0,,True,26.0,False
2026-06-01,Netherlands,Justin Kluivert,Bournemouth,MID,77.0,3.0,,True,27.1,False
2026-06-01,Netherlands,Ryan Gravenberch,Liverpool,MID,78.0,3.0,,True,24.0,False
2026-06-01,Netherlands,Wout Weghorst,Ajax,FWD,77.0,3.0,,True,33.8,False
2026-06-01,Netherlands,Memphis Depay,Corinthians,FWD,74.0,8.0,,True,32.3,False
2026-06-01,Netherlands,Cody Gakpo,Liverpool,FWD,83.0,3.0,,True,27.1,True
2026-06-01,Netherlands,Mats Wieffer,Brighton & Hove Albion,DEF,80.0,3.0,,True,26.5,True
2026-06-01,Netherlands,Robin Roefs,Sunderland,GK,66.0,3.0,,True,23.4,False
2026-06-01,Netherlands,Tijjani Reijnders,Manchester City,MID,82.0,3.0,,True,27.8,True
2026-06-01,Netherlands,Micky van de Ven,Tottenham Hotspur,DEF,82.0,3.0,,True,25.1,True
2026-06-01,Netherlands,Guus Til,PSV Eindhoven,MID,75.0,3.0,,True,28.4,False
2026-06-01,Netherlands,Noa Lang,Galatasaray,FWD,79.0,3.0,,True,27.0,False
2026-06-01,Netherlands,Donyell Malen,Roma,FWD,83.0,3.0,,True,27.4,True
2026-06-01,Netherlands,Brian Brobbey,Sunderland,FWD,79.0,3.0,,True,24.3,False
2026-06-01,Netherlands,Teun Koopmeiners,Juventus,MID,83.0,3.0,,True,28.3,True
2026-06-01,Netherlands,Frenkie de Jong,Barcelona,MID,87.0,3.0,,True,29.1,True
2026-06-01,Netherlands,Denzel Dumfries,Inter Milan,DEF,82.0,3.0,,True,30.1,True
2026-06-01,Netherlands,Mark Flekken,Bayer Leverkusen,GK,79.0,3.0,,True,33.0,True
2026-06-01,Netherlands,Crysencio Summerville,West Ham United,FWD,76.0,3.0,,True,24.6,False
2026-06-01,Netherlands,Jorrel Hato,Chelsea,DEF,73.0,3.0,,True,20.2,False
2026-06-01,Netherlands,Quinten Timber,Marseille,MID,79.0,3.0,,True,25.0,False
2026-06-01,New Zealand,Max Crocombe,Millwall,GK,65.0,3.0,,True,32.8,False
2026-06-01,New Zealand,Tim Payne,Wellington Phoenix,DEF,67.0,3.0,,True,32.4,True
2026-06-01,New Zealand,Francis de Vries,Auckland FC,DEF,64.0,3.0,,True,31.5,False
2026-06-01,New Zealand,Tyler Bindon,Sheffield United,DEF,67.0,3.0,,True,21.3,True
2026-06-01,New Zealand,Michael Boxall,Minnesota United FC,DEF,69.0,3.0,,True,37.8,True
2026-06-01,New Zealand,Joe Bell,Viking,MID,67.0,3.0,,True,27.1,True
2026-06-01,New Zealand,Matthew Garbett,Peterborough United,MID,64.0,3.0,,True,24.1,False
2026-06-01,New Zealand,Marko Stamenić,Swansea City,MID,72.0,3.0,,True,24.3,True
2026-06-01,New Zealand,Chris Wood,Nottingham Forest,FWD,76.0,3.0,,True,34.5,True
2026-06-01,New Zealand,Sarpreet Singh,Wellington Phoenix,MID,62.0,8.0,,True,27.3,False
2026-06-01,New Zealand,Elijah Just,Motherwell,MID,62.0,8.0,,True,26.1,False
2026-06-01,New Zealand,Alex Paulsen,Lechia Gdańsk,GK,70.0,3.0,,True,23.9,True
2026-06-01,New Zealand,Liberato Cacace,Wrexham,DEF,72.0,3.0,,True,25.7,True
2026-06-01,New Zealand,Alex Rufer,Wellington Phoenix,MID,68.0,3.0,,True,30.0,True
2026-06-01,New Zealand,Nando Pijnaker,Auckland FC,DEF,62.0,3.0,,True,27.3,False
2026-06-01,New Zealand,Finn Surman,Portland Timbers,DEF,66.0,3.0,,True,22.7,False
2026-06-01,New Zealand,Kosta Barbarouses,Western Sydney Wanderers,FWD,68.0,3.0,,True,36.3,True
2026-06-01,New Zealand,Ben Waine,Port Vale,FWD,64.0,3.0,,True,25.0,False
2026-06-01,New Zealand,Ben Old,Saint-Étienne,MID,67.0,3.0,,True,23.8,True
2026-06-01,New Zealand,Callum McCowatt,Silkeborg,MID,66.0,3.0,,True,27.1,False
2026-06-01,New Zealand,Jesse Randall,Auckland FC,FWD,62.0,8.0,,True,23.8,False
2026-06-01,New Zealand,Michael Woud,Auckland FC,GK,62.0,3.0,,True,27.4,False
2026-06-01,New Zealand,Ryan Thomas,PEC Zwolle,MID,66.0,3.0,,True,31.4,False
2026-06-01,New Zealand,Callan Elliot,Auckland FC,DEF,62.0,3.0,,True,26.9,False
2026-06-01,New Zealand,Lachlan Bayliss,Newcastle Jets,MID,58.0,3.0,,True,23.9,False
2026-06-01,New Zealand,Tommy Smith,Braintree Town,DEF,62.0,3.0,,True,36.2,False
2026-06-01,Norway,Ørjan Nyland,Sevilla,GK,76.0,3.0,,True,35.7,True
2026-06-01,Norway,Morten Thorsby,Cremonese,MID,72.0,3.0,,True,30.1,False
2026-06-01,Norway,Kristoffer Ajer,Brentford,DEF,76.0,3.0,,True,28.1,True
2026-06-01,Norway,Leo Østigård,Genoa,DEF,72.0,3.0,,True,26.5,False
2026-06-01,Norway,David Møller Wolfe,Wolverhampton Wanderers,DEF,70.0,3.0,,True,24.1,False
2026-06-01,Norway,Patrick Berg,Bodø/Glimt,MID,76.0,3.0,,True,28.5,True
2026-06-01,Norway,Alexander Sørloth,Atlético Madrid,FWD,82.0,3.0,,True,30.5,True
2026-06-01,Norway,Sander Berge,Fulham,MID,76.0,3.0,,True,28.3,True
2026-06-01,Norway,Erling Haaland,Manchester City,FWD,91.0,3.0,,True,25.9,True
2026-06-01,Norway,Martin Ødegaard,Arsenal,MID,89.0,3.0,,True,27.5,True
2026-06-01,Norway,Jørgen Strand Larsen,Crystal Palace,FWD,75.0,3.0,,True,26.3,True
2026-06-01,Norway,Sander Tangvik,Hamburger SV,GK,65.0,3.0,,True,23.5,False
2026-06-01,Norway,Egil Selvik,Watford,GK,69.0,3.0,,True,28.8,False
2026-06-01,Norway,Fredrik Aursnes,Benfica,MID,80.0,3.0,,True,30.5,True
2026-06-01,Norway,Fredrik André Bjørkan,Bodø/Glimt,DEF,73.0,3.0,,True,27.8,False
2026-06-01,Norway,Marcus Holmgren Pedersen,Torino,DEF,73.0,3.0,,True,25.9,False
2026-06-01,Norway,Torbjørn Heggem,Bologna,DEF,65.0,4.0,,True,27.4,False
2026-06-01,Norway,Kristian Thorstvedt,Sassuolo,MID,73.0,3.0,,True,27.2,True
2026-06-01,Norway,Thelo Aasgaard,Rangers,MID,66.0,3.0,,True,24.1,False
2026-06-01,Norway,Antonio Nusa,RB Leipzig,FWD,72.0,3.0,,True,21.1,False
2026-06-01,Norway,Andreas Schjelderup,Benfica,MID,72.0,3.0,,True,22.0,False
2026-06-01,Norway,Oscar Bobb,Fulham,MID,72.0,3.0,,True,22.9,False
2026-06-01,Norway,Jens Petter Hauge,Bodø/Glimt,MID,71.0,3.0,,True,26.6,False
2026-06-01,Norway,Sondre Langås,Derby County,DEF,64.0,3.0,,True,25.3,False
2026-06-01,Norway,Henrik Falchener,Viking,DEF,68.0,8.0,,True,23.1,False
2026-06-01,Norway,Julian Ryerson,Borussia Dortmund,FWD,79.0,3.0,,True,28.5,True
2026-06-01,Panama,Luis Mejía,Nacional,GK,70.0,3.0,,True,35.2,True
2026-06-01,Panama,César Blackman,Slovan Bratislava,DEF,63.0,8.0,,True,28.2,False
2026-06-01,Panama,José Córdoba,Norwich City,DEF,66.0,3.0,,True,25.0,True
2026-06-01,Panama,Fidel Escobar,Saprissa,DEF,63.0,8.0,,True,31.4,False
2026-06-01,Panama,Edgardo Fariña,Pari Nizhny Novgorod,DEF,63.0,8.0,,True,24.6,False
2026-06-01,Panama,Cristian Martínez,Ironi Kiryat Shmona,MID,55.0,4.0,,True,29.3,False
2026-06-01,Panama,José Luis Rodríguez,Juárez,MID,63.0,8.0,,True,28.0,False
2026-06-01,Panama,Adalberto Carrasquilla,UNAM,MID,71.0,3.0,,True,27.5,True
2026-06-01,Panama,Tomás Rodríguez,Saprissa,FWD,63.0,8.0,,True,27.2,False
2026-06-01,Panama,Ismael Díaz,León,MID,74.0,3.0,,True,29.1,True
2026-06-01,Panama,Yoel Bárcenas,Mazatlán,MID,63.0,8.0,,True,32.6,False
2026-06-01,Panama,César Samudio,Marathón,GK,63.0,8.0,,True,32.3,False
2026-06-01,Panama,Jiovany Ramos,Puerto Cabello,DEF,68.0,3.0,,True,29.3,True
2026-06-01,Panama,Carlos Harvey,Minnesota United FC,DEF,56.0,3.0,,True,26.3,False
2026-06-01,Panama,Eric Davis,Plaza Amador,DEF,63.0,8.0,,True,35.2,True
2026-06-01,Panama,Andrés Andrade,LASK,DEF,71.0,3.0,,True,27.6,True
2026-06-01,Panama,José Fajardo,Universidad Católica,FWD,70.0,3.0,,True,32.8,True
2026-06-01,Panama,Cecilio Waterman,Universidad de Concepción,FWD,63.0,8.0,,True,35.1,False
2026-06-01,Panama,Alberto Quintero,Plaza Amador,MID,63.0,8.0,,True,38.5,True
2026-06-01,Panama,Aníbal Godoy,San Diego FC,MID,70.0,3.0,,True,36.3,True
2026-06-01,Panama,César Yanis,Cobresal,MID,63.0,8.0,,True,30.3,False
2026-06-01,Panama,Orlando Mosquera,Al-Fayha,GK,63.0,8.0,,True,31.4,False
2026-06-01,Panama,Michael Amir Murillo,Beşiktaş,DEF,74.0,3.0,,True,30.3,True
2026-06-01,Panama,Azarias Londoño,Universidad Católica,FWD,63.0,8.0,,True,24.9,False
2026-06-01,Panama,Roderick Miller,Turan Tovuz,DEF,63.0,8.0,,True,34.2,False
2026-06-01,Panama,Jorge Gutiérrez,Deportivo La Guaira,DEF,63.0,8.0,,True,27.7,False
2026-06-01,Paraguay,Gatito Fernández,Cerro Porteño,GK,68.0,8.0,,True,38.2,False
2026-06-01,Paraguay,Gustavo Velázquez,Cerro Porteño,DEF,73.0,3.0,,True,35.1,False
2026-06-01,Paraguay,Omar Alderete,Sunderland,DEF,77.0,3.0,,True,29.4,True
2026-06-01,Paraguay,Juan José Cáceres,Dynamo Moscow,DEF,73.0,3.0,,True,26.0,True
2026-06-01,Paraguay,Fabián Balbuena,Grêmio,DEF,68.0,8.0,,True,34.8,False
2026-06-01,Paraguay,Júnior Alonso,Atlético Mineiro,DEF,68.0,8.0,,True,33.3,False
2026-06-01,Paraguay,Ramón Sosa,Palmeiras,MID,75.0,3.0,,True,26.8,True
2026-06-01,Paraguay,Diego Gómez,Brighton & Hove Albion,MID,68.0,3.0,,True,23.2,False
2026-06-01,Paraguay,Antonio Sanabria,Cremonese,FWD,77.0,3.0,,True,30.2,True
2026-06-01,Paraguay,Miguel Almirón,Atlanta United FC,MID,78.0,3.0,,True,32.3,True
2026-06-01,Paraguay,Maurício,Palmeiras,MID,68.0,8.0,,True,24.9,False
2026-06-01,Paraguay,Orlando Gill,San Lorenzo,GK,68.0,8.0,,True,26.0,False
2026-06-01,Paraguay,José Canale,Lanús,DEF,68.0,8.0,,True,29.9,False
2026-06-01,Paraguay,Andrés Cubas,Vancouver Whitecaps FC,MID,74.0,3.0,,True,30.1,True
2026-06-01,Paraguay,Gustavo Gómez,Palmeiras,DEF,68.0,8.0,,True,33.1,False
2026-06-01,Paraguay,Damián Bobadilla,São Paulo,MID,68.0,8.0,,True,24.9,False
2026-06-01,Paraguay,Kaku,Al Ain,FWD,79.0,3.0,,True,31.4,True
2026-06-01,Paraguay,Álex Arce,Independiente Rivadavia,FWD,73.0,3.0,,True,31.0,True
2026-06-01,Paraguay,Julio Enciso,Strasbourg,FWD,73.0,4.0,,True,22.4,True
2026-06-01,Paraguay,Braian Ojeda,Orlando City SC,MID,70.0,3.0,,True,25.9,False
2026-06-01,Paraguay,Gabriel Ávalos,Independiente,FWD,74.0,3.0,,True,34.9,True
2026-06-01,Paraguay,Gastón Olveira,Olimpia,GK,73.0,4.0,,True,33.1,True
2026-06-01,Paraguay,Matías Galarza,Atlanta United FC,MID,63.0,3.0,,True,24.3,False
2026-06-01,Paraguay,Gustavo Caballero,Portsmouth,MID,64.0,3.0,,True,24.7,False
2026-06-01,Paraguay,Isidro Pitta,Red Bull Bragantino,FWD,68.0,8.0,,True,26.8,False
2026-06-01,Paraguay,Alexandro Maidana,Talleres,DEF,68.0,8.0,,True,20.8,False
2026-06-01,Portugal,Diogo Costa,Porto,GK,84.0,3.0,,True,26.7,True
2026-06-01,Portugal,Nélson Semedo,Fenerbahçe,DEF,78.0,3.0,,True,32.5,False
2026-06-01,Portugal,Rúben Dias,Manchester City,DEF,88.0,3.0,,True,29.0,True
2026-06-01,Portugal,Tomás Araújo,Benfica,DEF,73.0,3.0,,True,24.0,False
2026-06-01,Portugal,Diogo Dalot,Manchester United,DEF,82.0,3.0,,True,27.2,True
2026-06-01,Portugal,Matheus Nunes,Manchester City,MID,78.0,3.0,,True,27.8,False
2026-06-01,Portugal,Cristiano Ronaldo,Al-Nassr,FWD,86.0,3.0,,True,41.3,True
2026-06-01,Portugal,Bruno Fernandes,Manchester United,MID,87.0,3.0,,True,31.7,True
2026-06-01,Portugal,Gonçalo Ramos,Paris Saint-Germain,FWD,79.0,3.0,,True,24.9,False
2026-06-01,Portugal,Bernardo Silva,Manchester City,MID,88.0,3.0,,True,31.8,True
2026-06-01,Portugal,João Félix,Al-Nassr,FWD,80.0,3.0,,True,26.6,False
2026-06-01,Portugal,José Sá,Wolverhampton Wanderers,GK,79.0,3.0,,True,33.4,False
2026-06-01,Portugal,Renato Veiga,Villarreal,DEF,72.0,3.0,,True,22.8,False
2026-06-01,Portugal,Gonçalo Inácio,Sporting CP,DEF,80.0,3.0,,True,24.8,False
2026-06-01,Portugal,João Neves,Paris Saint-Germain,MID,79.0,3.0,,True,21.7,False
2026-06-01,Portugal,Francisco Trincão,Sporting CP,FWD,78.0,3.0,,True,26.4,False
2026-06-01,Portugal,Rafael Leão,Milan,FWD,86.0,3.0,,True,27.0,True
2026-06-01,Portugal,Pedro Neto,Chelsea,FWD,79.0,3.0,,True,26.2,False
2026-06-01,Portugal,Gonçalo Guedes,Real Sociedad,FWD,77.0,3.0,,True,29.5,False
2026-06-01,Portugal,João Cancelo,Barcelona,DEF,86.0,3.0,,True,32.0,True
2026-06-01,Portugal,Rúben Neves,Al-Hilal,MID,84.0,3.0,,True,29.2,True
2026-06-01,Portugal,Rui Silva,Sporting CP,GK,81.0,3.0,,True,32.3,False
2026-06-01,Portugal,Vitinha,Paris Saint-Germain,MID,85.0,3.0,,True,26.3,True
2026-06-01,Portugal,Samú Costa,Mallorca,DEF,74.0,3.0,,True,25.5,False
2026-06-01,Portugal,Nuno Mendes,Paris Saint-Germain,DEF,83.0,3.0,,True,24.0,True
2026-06-01,Portugal,Francisco Conceição,Juventus,FWD,78.0,3.0,,True,23.5,False
2026-06-01,Qatar,Mahmud Abunada,Al-Rayyan,GK,62.0,8.0,,True,26.3,False
2026-06-01,Qatar,Pedro Miguel,Al-Sadd,DEF,62.0,8.0,,True,35.8,True
2026-06-01,Qatar,Lucas Mendes,Al-Wakrah,DEF,62.0,8.0,,True,35.9,False
2026-06-01,Qatar,Issa Laye,Al-Arabi,DEF,62.0,8.0,,True,28.4,False
2026-06-01,Qatar,Jassem Gaber,Al-Rayyan,DEF,62.0,8.0,,True,24.3,False
2026-06-01,Qatar,Abdulaziz Hatem,Al-Rayyan,MID,62.0,8.0,,True,36.4,True
2026-06-01,Qatar,Ahmed Alaaeldin,Al-Rayyan,FWD,62.0,8.0,,True,33.3,True
2026-06-01,Qatar,Edmilson Junior,Al-Duhail,FWD,62.0,8.0,,True,31.8,False
2026-06-01,Qatar,Mohammed Muntari,Al-Gharafa,FWD,62.0,8.0,,True,32.4,True
2026-06-01,Qatar,Hassan Al-Haydos,Al-Sadd,FWD,62.0,8.0,,True,35.5,True
2026-06-01,Qatar,Akram Afif,Al-Sadd,FWD,62.0,8.0,,True,29.5,True
2026-06-01,Qatar,Karim Boudiaf,Al-Duhail,MID,62.0,8.0,,True,35.7,True
2026-06-01,Qatar,Ayoub Al-Oui,Al-Gharafa,DEF,62.0,8.0,,True,21.2,False
2026-06-01,Qatar,Homam Ahmed,Cultural Leonesa,DEF,62.0,8.0,,True,26.8,True
2026-06-01,Qatar,Yusuf Abdurisag,Al-Wakrah,FWD,62.0,8.0,,True,26.8,False
2026-06-01,Qatar,Boualem Khoukhi,Al-Sadd,DEF,62.0,8.0,,True,35.9,True
2026-06-01,Qatar,Ahmed Al-Ganehi,Al-Gharafa,MID,62.0,8.0,,True,25.7,False
2026-06-01,Qatar,Sultan Al-Brake,Al-Duhail,DEF,62.0,8.0,,True,30.1,False
2026-06-01,Qatar,Almoez Ali,Al-Duhail,FWD,62.0,8.0,,True,29.8,True
2026-06-01,Qatar,Ahmed Fathy,Al-Arabi,MID,62.0,8.0,,True,33.3,False
2026-06-01,Qatar,Salah Zakaria,Al-Duhail,GK,62.0,8.0,,True,27.1,False
2026-06-01,Qatar,Meshaal Barsham,Al-Sadd,GK,62.0,8.0,,True,28.3,True
2026-06-01,Qatar,Assim Madibo,Al-Wakrah,MID,62.0,8.0,,True,29.6,False
2026-06-01,Qatar,Tahsin Jamshid,Al-Duhail,FWD,62.0,8.0,,True,20.0,False
2026-06-01,Qatar,Al-Hashmi Al-Hussain,Al-Arabi,DEF,62.0,8.0,,True,22.8,False
2026-06-01,Qatar,Mohamed Manai,Al-Shamal,FWD,62.0,8.0,,True,23.6,False
2026-06-01,Saudi Arabia,Nawaf Al-Aqidi,Al-Nassr,GK,68.0,3.0,,True,26.1,False
2026-06-01,Saudi Arabia,Ali Majrashi,Al-Ahli,DEF,65.0,3.0,,True,26.7,False
2026-06-01,Saudi Arabia,Ali Lajami,Al-Hilal,DEF,69.0,3.0,,True,30.1,True
2026-06-01,Saudi Arabia,Abdulelah Al-Amri,Al-Nassr,DEF,69.0,3.0,,True,29.4,True
2026-06-01,Saudi Arabia,Hassan Al-Tambakti,Al-Hilal,DEF,73.0,3.0,,True,27.3,True
2026-06-01,Saudi Arabia,Nasser Al-Dawsari,Al-Hilal,MID,66.0,3.0,,True,27.4,False
2026-06-01,Saudi Arabia,Musab Al-Juwayr,Al-Qadsiah,MID,67.0,3.0,,True,22.9,False
2026-06-01,Saudi Arabia,Ayman Yahya,Al-Nassr,FWD,66.0,3.0,,True,25.0,False
2026-06-01,Saudi Arabia,Firas Al-Buraikan,Al-Ahli,FWD,75.0,3.0,,True,26.0,True
2026-06-01,Saudi Arabia,Salem Al-Dawsari,Al-Hilal,FWD,80.0,3.0,,True,34.8,True
2026-06-01,Saudi Arabia,Saleh Al-Shehri,Al-Ittihad,FWD,68.0,3.0,,True,32.6,True
2026-06-01,Saudi Arabia,Saud Abdulhamid,Lens,DEF,78.0,3.0,,True,26.9,True
2026-06-01,Saudi Arabia,Nawaf Boushal,Al-Nassr,DEF,63.0,3.0,,True,26.7,False
2026-06-01,Saudi Arabia,Hassan Kadesh,Al-Ittihad,DEF,68.0,3.0,,True,33.7,True
2026-06-01,Saudi Arabia,Abdullah Al-Khaibari,Al-Nassr,MID,71.0,3.0,,True,29.8,True
2026-06-01,Saudi Arabia,Ziyad Al-Johani,Al-Ahli,MID,61.0,3.0,,True,24.6,False
2026-06-01,Saudi Arabia,Khalid Al-Ghannam,Al-Ettifaq,FWD,62.0,3.0,,True,25.6,False
2026-06-01,Saudi Arabia,Alaa Al-Hejji,Neom,MID,63.0,3.0,,True,30.5,False
2026-06-01,Saudi Arabia,Abdullah Al-Hamdan,Al-Nassr,FWD,61.0,3.0,,True,26.7,False
2026-06-01,Saudi Arabia,Sultan Mandash,Al-Hilal,FWD,66.0,3.0,,True,31.6,False
2026-06-01,Saudi Arabia,Mohammed Al-Owais,Al-Ula,GK,69.0,3.0,,True,34.6,True
2026-06-01,Saudi Arabia,Ahmed Al-Kassar,Al-Qadsiah,GK,63.0,3.0,,True,35.1,False
2026-06-01,Saudi Arabia,Mohamed Kanno,Al-Hilal,MID,71.0,3.0,,True,31.7,True
2026-06-01,Saudi Arabia,Moteb Al-Harbi,Al-Hilal,DEF,68.0,3.0,,True,26.3,False
2026-06-01,Saudi Arabia,Jehad Thakri,Al-Qadsiah,DEF,63.0,8.0,,True,24.9,False
2026-06-01,Saudi Arabia,Mohammed Abu Al-Shamat,Al-Qadsiah,DEF,63.0,8.0,,True,23.8,False
2026-06-01,Scotland,Angus Gunn,Nottingham Forest,GK,74.0,3.0,,True,30.4,True
2026-06-01,Scotland,Aaron Hickey,Brentford,DEF,76.0,3.0,,True,24.0,True
2026-06-01,Scotland,Andy Robertson,Liverpool,DEF,85.0,3.0,,True,32.2,True
2026-06-01,Scotland,Scott McTominay,Napoli,MID,78.0,3.0,,True,29.5,True
2026-06-01,Scotland,Grant Hanley,Hibernian,DEF,71.0,3.0,,True,34.5,False
2026-06-01,Scotland,Kieran Tierney,Celtic,DEF,79.0,3.0,,True,29.0,True
2026-06-01,Scotland,John McGinn,Aston Villa,MID,82.0,3.0,,True,31.6,True
2026-06-01,Scotland,Tyler Fletcher,Manchester United,MID,68.0,8.0,,True,19.2,False
2026-06-01,Scotland,Lyndon Dykes,Charlton Athletic,FWD,69.0,3.0,,True,30.7,False
2026-06-01,Scotland,Ché Adams,Torino,FWD,75.0,3.0,,True,29.9,True
2026-06-01,Scotland,Ryan Christie,Bournemouth,MID,76.0,3.0,,True,31.3,True
2026-06-01,Scotland,Liam Kelly,Rangers,GK,66.0,3.0,,True,30.4,False
2026-06-01,Scotland,Jack Hendry,Al-Ettifaq,DEF,75.0,3.0,,True,31.1,True
2026-06-01,Scotland,Ross Stewart,Southampton,FWD,71.0,3.0,,True,29.9,False
2026-06-01,Scotland,John Souttar,Rangers,DEF,74.0,3.0,,True,29.7,False
2026-06-01,Scotland,Dominic Hyam,Wrexham,DEF,70.0,3.0,,True,30.4,False
