match_id,date,time,utc_offset,stage,group,home_team,away_team,home_source,away_source,venue,venue_country,neutral
74,2026-06-29,16:30,-4,round_of_32,,,,1E,3A/B/C/D/F,Boston (Foxborough),United States,True
75,2026-06-29,19:00,-6,round_of_32,,,,1F,2C,Monterrey (Guadalupe),Mexico,True
76,2026-06-29,12:00,-5,round_of_32,,,,1C,2F,Houston,United States,True
77,2026-06-30,17:00,-4,round_of_32,,,,1I,3C/D/F/G/H,New York/New Jersey (East Rutherford),United States,True
78,2026-06-30,12:00,-5,round_of_32,,,,2E,2I,Dallas (Arlington),United States,True
79,2026-06-30,19:00,-6,round_of_32,,,,1A,3C/E/F/H/I,Mexico City,Mexico,True
80,2026-07-01,12:00,-4,round_of_32,,,,1L,3E/H/I/J/K,Atlanta,United States,True
81,2026-07-01,17:00,-7,round_of_32,,,,1D,3B/E/F/I/J,San Francisco Bay Area (Santa Clara),United States,True
82,2026-07-01,13:00,-7,round_of_32,,,,1G,3A/E/H/I/J,Seattle,United States,True
83,2026-07-02,19:00,-4,round_of_32,,,,2K,2L,Toronto,Canada,True
84,2026-07-02,12:00,-7,round_of_32,,,,1H,2J,Los Angeles (Inglewood),United States,True
85,2026-07-02,20:00,-7,round_of_32,,,,1B,3E/F/G/I/J,Vancouver,Canada,True
86,2026-07-03,18:00,-4,round_of_32,,,,1J,2H,Miami (Miami Gardens),United States,True
87,2026-07-03,20:30,-5,round_of_32,,,,1K,3D/E/I/J/L,Kansas City,United States,True
88,2026-07-03,13:00,-5,round_of_32,,,,2D,2G,Dallas (Arlington),United States,True
89,2026-07-04,17:00,-4,round_of_16,,,,W74,W77,Philadelphia,United States,True
90,2026-07-04,12:00,-5,round_of_16,,,,W73,W75,Houston,United States,True
91,2026-07-05,16:00,-4,round_of_16,,,,W76,W78,New York/New Jersey (East Rutherford),United States,True
92,2026-07-05,18:00,-6,round_of_16,,,,W79,W80,Mexico City,Mexico,True
93,2026-07-06,14:00,-5,round_of_16,,,,W83,W84,Dallas (Arlington),United States,True
94,2026-07-06,17:00,-7,round_of_16,,,,W81,W82,Seattle,United States,True
95,2026-07-07,12:00,-4,round_of_16,,,,W86,W88,Atlanta,United States,True
96,2026-07-07,13:00,-7,round_of_16,,,,W85,W87,Vancouver,Canada,True
97,2026-07-09,16:00,-4,quarter_final,,,,W89,W90,Boston (Foxborough),United States,True
98,2026-07-10,12:00,-7,quarter_final,,,,W93,W94,Los Angeles (Inglewood),United States,True
99,2026-07-11,17:00,-4,quarter_final,,,,W91,W92,Miami (Miami Gardens),United States,True
100,2026-07-11,20:00,-5,quarter_final,,,,W95,W96,Kansas City,United States,True
101,2026-07-14,14:00,-5,semi_final,,,,W97,W98,Dallas (Arlington),United States,True
102,2026-07-15,15:00,-4,semi_final,,,,W99,W100,Atlanta,United States,True
103,2026-07-18,17:00,-4,third_place,,,,L101,L102,Miami (Miami Gardens),United States,True
104,2026-07-19,15:00,-4,final,,,,W101,W102,New York/New Jersey (East Rutherford),United States,True
