date,home_team,away_team,home_xg,away_xg
2022-11-27,Croatia,Canada,2.6102110830000003,0.28679518099999995
2022-11-27,Japan,Costa Rica,0.773533495,0.199368384
2022-11-27,Spain,Germany,0.6395007165,1.1469521137
2022-11-28,Brazil,Switzerland,0.922729946,0.288629175
2022-11-28,Cameroon,Serbia,2.0703093487,1.738067283
2022-11-28,Portugal,Uruguay,1.2137340055999999,1.216681074
2022-11-28,South Korea,Ghana,1.3677928149999998,1.1805358279999998
2022-11-29,Ecuador,Senegal,1.0016627869999999,1.7074647099999998
2022-11-29,Iran,United States,0.9207899420000001,1.169654601
2022-11-29,Netherlands,Qatar,1.7139532729999998,0.143716575
2022-11-29,Wales,England,0.208009498,2.91548517
2022-11-30,Australia,Denmark,0.469723377,0.7371546319999999
2022-11-30,Poland,Argentina,0.197595245,3.0766596990000004
2022-11-30,Saudi Arabia,Mexico,1.076111142,2.3221233279
2022-11-30,Tunisia,France,0.298346986,0.47698937399999997
2022-12-01,Canada,Morocco,1.095618012,0.42640382499999996
2022-12-01,Costa Rica,Germany,1.0347440669999999,4.316106397
2022-12-01,Croatia,Belgium,0.695021896,2.3818400918
2022-12-01,Japan,Spain,1.157800672,0.8577122079999999
2022-12-02,Cameroon,Brazil,0.38336075199999997,2.378218864
2022-12-02,Ghana,Uruguay,1.392694141,1.6365584506000004
2022-12-02,Serbia,Switzerland,1.1890035350000001,3.1035154719999998
2022-12-02,South Korea,Portugal,1.3989824739999999,0.973722266
2022-12-03,Argentina,Australia,1.4815793030000002,0.42611782
2022-12-03,Netherlands,United States,1.481948115,1.652097544
2022-12-04,England,Senegal,1.0200234609999999,0.972806433
2022-12-04,France,Poland,1.126374493,1.593527124
2022-12-05,Brazil,South Korea,3.261424097,0.3448272774
2022-12-05,Japan,Croatia,1.068976766,0.8543975060000001
2022-12-06,Morocco,Spain,0.570374606,0.4949908599
2022-12-06,Portugal,Switzerland,2.2842600070000003,1.2718271719999998
2022-12-09,Croatia,Brazil,0.6328888039999999,1.8163305555000004
2022-12-09,Netherlands,Argentina,0.569537827,1.9391971309999998
2022-12-10,England,France,2.352551477,0.839362034
2022-12-10,Morocco,Portugal,0.9720228750000001,0.7441207567
2022-12-13,Argentina,Croatia,1.8643632719999998,0.4100536413
2022-12-14,France,Morocco,2.002449116,1.23036399
2022-12-17,Croatia,Morocco,0.8492689635999999,0.99145712
2022-12-18,Argentina,France,2.7583059260000002,2.272617949
